distance	count.Inner	count.Outer	count.Right	count.Left	sum	log10count.Inner	log10count.Outer	log10count.Right	log10count.Left	log10sum	proportion.Inner	proportion.Outer	proportion.Right	proportion.Left	allpossible_sumcount	prob	log10prob
8.100	1383063	1386986	1402797	1376030	5548876	6.141	6.142	6.147	6.139	6.744	0.249	0.250	0.253	0.248	1.234E+08	4.498E-02	-1.347
8.300	527459	525733	535340	525574	2114106	5.722	5.721	5.729	5.721	6.325	0.249	0.249	0.253	0.249	4.972E+07	4.252E-02	-1.371
8.500	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-6.698E+07	-0.000E+00	-100.000
8.700	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-2.519E+08	-0.000E+00	-100.000
8.900	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-5.451E+08	-0.000E+00	-100.000
9.100	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.010E+09	-0.000E+00	-100.000
9.300	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.746E+09	-0.000E+00	-100.000
9.500	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-2.913E+09	-0.000E+00	-100.000
9.700	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-4.763E+09	-0.000E+00	-100.000
9.900	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-7.694E+09	-0.000E+00	-100.000
10.100	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.234E+10	-0.000E+00	-100.000
10.300	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.970E+10	-0.000E+00	-100.000
10.500	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-3.137E+10	-0.000E+00	-100.000
10.700	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-4.987E+10	-0.000E+00	-100.000
10.900	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-7.918E+10	-0.000E+00	-100.000
11.100	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.256E+11	-0.000E+00	-100.000
11.300	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-1.993E+11	-0.000E+00	-100.000
11.500	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-3.160E+11	-0.000E+00	-100.000
11.700	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-5.009E+11	-0.000E+00	-100.000
11.900	0	0	0	0	0	-100.000	-100.000	-100.000	-100.000	-99.398	0.250	0.250	0.250	0.250	-7.941E+11	-0.000E+00	-100.000
